code_3,code_1,script,name,family,type,tok_code,proxy,auto_assigned,default_code_1,default_script
bex,,Latn,Jur Modo,Nilo-Saharan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bfd,,Latn,Bafut,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
bfo,,Latn,Malba Birifor,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
bgr,,Latn,Bawm Chin,Sino-Tibetan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bgs,,Latn,Tagabawa,Austronesian,SpaCyTokenizer,tl,TRUE,TRUE,FALSE,TRUE
bgt,,Latn,Bughotu,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
bgz,,Latn,Banggai,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
bhg,,Latn,Binandere,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bhl,,Latn,Bimin,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bho,,Deva,Bhojpuri,Indo-European,IndicNLPTokenizer,hi,TRUE,TRUE,FALSE,TRUE
bhp,,Latn,Bima,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
bhw,,Latn,Biak,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
bhz,,Latn,Bada (Indonesia),Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
bib,,Latn,Bissa,Niger-Congo,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
big,,Latn,Biangai,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bik,,Latn,Bikol,,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bim,,Latn,Bimoba,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
bin,,Latn,Bini,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
bis,bi,Latn,Bislama,Creole,StanzaTokenizer,pcm,TRUE,TRUE,TRUE,TRUE
biu,,Latn,Biete,Sino-Tibetan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
biv,,Latn,Southern Birifor,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
bjn,ms,Arab,Banjar,Austronesian,WhitespaceTokenizer,,TRUE,TRUE,FALSE,FALSE
bjn,ms,Latn,Banjar,Austronesian,SpaCyTokenizer,ms,FALSE,FALSE,FALSE,TRUE
bjp,,Latn,Fanamaket,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
bjr,,Latn,Binumarien,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bjv,,Latn,Bedjond,Nilo-Saharan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bkd,,Latn,Binukid,Austronesian,SpaCyTokenizer,tl,TRUE,TRUE,FALSE,TRUE
bkl,,Latn,Berik,Tor-Kwerba,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bkq,,Latn,Bakairí,Cariban,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
bku,,Latn,Buhid,Austronesian,SpaCyTokenizer,tl,TRUE,TRUE,FALSE,TRUE
bkv,,Latn,Bekwarra,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
bla,,Latn,Siksika,Algic,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
blh,,Latn,Kuwaa,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
